DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE
19-12-2024,6978986249,84879000,Machinery and Mechanical Appliances,2KA ROTARY UNION\ 2KA -R-M52X1\5 \ 9510150322 ( QTY 1 NOS) 2KA ROTARY UNION\ 2KA -R-M52X1\5 \ 9510150322 ( QTY 1 NOS),INDIA,OTT-JAKOB CLAMPINGT ECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,"$1,153.21","$1,153.22"
19-12-2024,6978982287,84879000,Machinery and Mechanical Appliances,ROTARY UNION \ 2KL-R-M42X1\5 \9510146522 ( QTY 1 NOS) ROTARY UNION \ 2KL-R-M42X1\5 \9510146522 ( QTY 1 NOS),INDIA,OTT-JAKOB CLAMPING TECHNOLOGIES INDIA PRIVATE LIMI,AHMEDABAD (INAMD4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,1,$623.11,$623.11
16-12-2024,6977084912,27101990,Mineral Products,MOLYSPEED GREASE NO.1 (16KG CAN) 33141-TFE010 ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,2,$495.59,$247.80
16-12-2024,6977160053,82031000,Metals,CORE ID TRIMMING TOOL (TRUSCO) 432-8981 ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMI,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,10,$42.49,$4.25
08-03-2025,1134470612,84836090,Machinery and Mechanical Appliances,525-1550-01R - ROTARY UNION G 1 RH SINGLE PASSAGE AS PER INVOICE525-1550-01R - ROTARY UNION G 1 RH SINGLE PASSAGE AS PER IN,INDIA,ROTOFLUX ROTARY JOINTS INDIA PRIVATE LIMITED,CHENNAI AIR CARGO (INMAA4),ITALY,ROTOFLUX SRL,MILAN,NOS,7,"$1,617.94",$231.13
13-03-2025,4761925815,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JC  INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$7,146.03",$476.40
13-03-2025,4761925815,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$7,146.03",$476.40
13-03-2025,4762428564,84314990,Machinery and Mechanical Appliances,403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT)(PARTS FOR EXCAVATOR)403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT),INDIA,JCB INDIA LIMITED,BOMBAY AIR CARGO (INBOM4),ITALY,ALA OFFICINE SPA,VERONA,NOS,3,"$1,740.80",$580.27
13-03-2025,6303473692,84314990,Machinery and Mechanical Appliances,403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT)(PARTS FOR EXCAVATOR)403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT),INDIA,JCB INDIA LIMITED,BOMBAY AIR CARGO (INBOM4),ITALY,ALA OFFICINE SPA,VERONA,NOS,3,"$1,740.80",$580.27
26-02-2025,0650697832,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,13,"$5,947.76",$457.52
26-02-2025,0650697831,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,10,"$4,575.20",$457.52
26-02-2025,0650697830,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,8,"$3,660.16",$457.52
26-02-2025,0650697829,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,2,$915.04,$457.52
28-08-2024,1042850948,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,13,"$6,185.86",$475.84
28-08-2024,1042850947,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,7,"$3,330.84",$475.84
16-12-2024,6977235236,84833000,Machinery and Mechanical Appliances,BALL BEARING;6007ZZCM/5K;NTN CORPORATION 6007ZZ ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,3,$9.10,$3.04
16-12-2024,6977225012,84833000,Machinery and Mechanical Appliances,DEEP GROOVE BALL BEARING;6007ZZ;NTN CORP 6007ZZ ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PVT LTD,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,8,$24.28,$3.04
