DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,Spare/Unit/Others,product,model,category,type,Manufacturer,YOM,Height (ft),Battery/Diesel,Imp Companies,Relevancy
2025/01/29,3700334653,84312090,Machinery and Mechanical Appliances,1260963GT BOLT\CARRIAGE\1/4-20X.63\5\ZAG (PARTS OF SCISSOR LIFT)1260963GT BOLT\CARRIAGE\1/4-20X.63\5\ZAG (PARTS OF SCISSOR L,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1800,58 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700340939,84312090,Machinery and Mechanical Appliances,1307331GT SHIM\1.01X1.63X.13\ZNIC (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1800,996 ,1 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/01/29,3700333966,84312090,Machinery and Mechanical Appliances,1253485GT SCREW\HHF\1/4-20X2\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1720,128 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334673,84312090,Machinery and Mechanical Appliances,1281175GT DECAL\LANYARD\FALL RESTRAINED (PARTS OF SCISSOR LIFT)1281175GT DECAL\LANYARD\FALL RESTRAINED (PARTS OF SCISSOR LI,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1700,109 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700333995,84312090,Machinery and Mechanical Appliances,1256848GT SCREW\HHC\3/8-16X2.75\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1650,386 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334652,84312090,Machinery and Mechanical Appliances,1260941GT WASHER\SHIM\1.54X2.00X.125\ZAG (PARTS OF SCISSOR LIFT)1260941GT WASHER\SHIM\1.54X2.00X.125\ZAG (PARTS OF SCISSOR L,INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1640,192 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341350,84312090,Machinery and Mechanical Appliances,825020GT ROD END\ .25 X 2.75\ ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1618,"1,430 ",1 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/01/29,3700340968,84312090,Machinery and Mechanical Appliances,33776GT RIVET\STL\STL\P\.188 X .375 (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1500,96 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/03/26,6305069375,39199010,Plastics,1281175GT - DECAL\LANYARD\FALL RESTRAINED - (PARTS OF SCISSOR LIFT)1281175GT - DECAL\LANYARD\FALL RESTRAINED - (PARTS OF SCISSO,INDIA,TEREX INDIA PRIVATE LIMITED,AHMEDABAD (INAMD4),CHINA,TEREX CHANGZHOU MACHINERY CO LT,NANJING,PCS,1500,111 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341356,84312090,Machinery and Mechanical Appliances,825796GT SNAP RING\EXTERNAL\1.50\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,1480,268 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
