DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,SBU,Spare / Unit / Others,Product,Model,Category,Application,Manufacturer,Relevancy
19-03-2025,4762053319,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,5,"$4,904.15",$980.83,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE111,New,Excavator,ALA OFFICINE SPA,Relevant
19-03-2025,4761918534,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA Ltd,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,712.46",$980.83,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,7VIE112,New,Excavator,ALA OFFICINE SPA,Relevant
13-12-2024,6977018675,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT Pvt ltd,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,2,$659.25,$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
13-12-2024,6976929556,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485,INDIA,ARX MINING & CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,6,"$1,977.77",$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
13-12-2024,6976924734,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,3,$988.88,$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
13-12-2024,6976917156,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 10211602,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,3,$988.88,$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
13-12-2024,6976929563,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,6,"$1,977.77",$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
13-12-2024,6976924756,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398,INDIA,ARX MINING AND CONSTRUCTION Eqpt  PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,5,"$1,648.14",$329.63,ALA OFFICINE SPA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,D&T,Unit,Rotary Union,8VIE60A-2116-2,New,Motor Grader,ALA OFFICINE SPA,Relevant
15-03-2025,4762201467,84314930,Machinery and Mechanical Appliances,402/J8091 GIUNTO ROTANTE (ROTARY JOINT) (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/J8091 GIUNTO ROTANTE (ROTARY JOINT) (PARTS FOR EXCAVAT,INDIA,J C B INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,3,"$15,788.67","$5,262.89",ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,J8091,New,Excavator,ALA OFFICINE SPA,Relevant
15-03-2025,6302063069,84314930,Machinery and Mechanical Appliances,402/J8091 GIUNTO ROTANTE (ROTARY JOINT) (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/J8091 GIUNTO ROTANTE (ROTARY JOINT) (PARTS FOR EXCAVAT,INDIA,JCB INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,3,"$15,788.67","$5,262.89",ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,J8091,New,Excavator,ALA OFFICINE SPA,Relevant
