DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
26-05-2022,1004018031,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-2000# PCS- 3120) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"3,055"," $ 3,064.49 ", $ 1.00 
26-05-2022,1114363482,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-240# PCS- 4008) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"4,091.5"," $ 2,582.13 ", $ 0.63 
26-05-2022,1016703183,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-2500# PCS- 4080) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"3,995"," $ 4,050.51 ", $ 1.01 
26-05-2022,1134037700,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-320# PCS- 1440) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"1,470", $ 927.71 , $ 0.63 
26-05-2022,1081226229,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-400# PCS- 1560) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"1,592.5"," $ 1,285.11 ", $ 0.81 
26-05-2022,1176346106,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-60# PCS- 4560) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"4,655"," $ 2,889.60 ", $ 0.62 
26-05-2022,1016932686,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-600# PCS- 2304) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"2,352"," $ 1,898.01 ", $ 0.81 
26-05-2022,1184969893,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-80# PCS- 4560) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"4,655"," $ 2,937.76 ", $ 0.63 
26-05-2022,1182399045,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE L170MM ABBRASIVE STONE FOR QUARTZ (GRITS-800# PCS- 3456) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,"3,528"," $ 2,810.51 ", $ 0.80 
26-05-2022,1185999563,39269059,Plastics,FRANKFURT ABRASIVE L170MM HIGH FIBRE ABRASIVE (GRITS- 6000#PCS- 1680) ,INDIA,CLASSIC MARBLE COMPANY PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,KERRYFU INTERNATIONAL TRADING CO,,KGS,280," $ 14,638.11 ", $ 52.28 
27-02-2023,9325846019,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD (C2) SPECIFICATION (GRITS) 1000 (USEFOR GRINDING AND POLISHING MACHINE),INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,GARHI HARSARU - GURGAON ICD (INGHR6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,270, $ 190.70 , $ 0.71 
27-02-2023,9325846024,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD (C2) SPECIFICATION (GRITS) 500 (USE FOR GRINDING AND POLISHING MACHINE),INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,GARHI HARSARU - GURGAON ICD (INGHR6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,135, $ 95.35 , $ 0.71 
02-07-2021,1014786880,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD (SPECIFICATION GRITS 1000) ,INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,TUGHLAKABAD (INTKD6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,705, $ 508.89 , $ 0.72 
02-07-2021,1131519104,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD (SPECIFICATION GRITS 15003) ,INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,TUGHLAKABAD (INTKD6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,"1,320", $ 952.81 , $ 0.72 
08-11-2024,9706059837,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD SPECIFICATION (GRITS) 1000 (USE FOR GRINDING AND POLISHING MACHINE),INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,PATLI ICD (INPTL6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,540, $ 367.57 , $ 0.68 
03-05-2023,8849099739,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",FRANKFURT ABRASIVE PAD SPECIFICATION (GRITS) 1000 (USE FORGRINDING AND POLISHING MACHINE),INDIA,SURIE POLEX INDUSTRIES PRIVATE LIMITED,GARHI HARSARU - GURGAON ICD (INGHR6),CHINA,"XIAMEN PANSHI DIAMOND TOOLS CO., LTD.",XIAMEN,PCS,270, $ 189.70 , $ 0.70 
