DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,DESTINATION PORT,BUYER,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT, QUANTITY , VALUE(USD) , UNIT PRICE ,Seller Group,Buyer Group,Spare / Unit / Others,Product,Model,Category,Type,Manufacturer,Relevancy,Buyer_Type,Seller_Type
25-01-2022,1170940207,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 2000#)(OTHER DETAILS AS PER INV\PL/BL) ,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,CHINA,KERRYFU INTERNATIONAL TRADING CO,,MTS,  1 ," $ 1,317 ", $ 1.08 ,,,,Steel Shot,,Other,,,,End Customer,
08-03-2024,1419923078,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240 ) (QTY : 4320 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  5 ," $ 2,882 ", $ 0.64 ,,,,Steel Shot,,Other,,,,End Customer,
08-03-2024,1419890484,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240 ) (QTY : 4320 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  5 ," $ 2,886 ", $ 0.64 ,,,,Steel Shot,,Other,,,,End Customer,
19-02-2024,0696121330,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240 ) AS PER INV,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,PCS," 4,800 "," $ 3,198 ", $ 0.67 ,,,,Steel Shot,,Other,,,,End Customer,
06-11-2020,0611202029126948,84615029,Machinery and Mechanical Appliances,L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240 98 CTN 2352 PCS) ,INDIA,MUNDRA (INMUN1),PACIFIC QUARTZ SURFACES LLP,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,NOS," 2,352 "," $ 1,315 ", $ 0.56 ,,,,Steel Shot,,Other,,,,Reseller,
26-08-2019,2.6082E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240# ) (58 CTNS) PKD AS PER INV,INDIA,PIPAVAV(VICTOR) PORT (INPAV),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  1 , $ 468 , $ 0.33 ,,,,Steel Shot,,Other,,,,End Customer,
02-09-2022,1323951042,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) ,INDIA,MUNDRA (INMUN1),CAMROLA QUARTZ LIMITED,GERMANY,KERRYFU INTERNATIONAL TRADING COMPA,FRANKFURT AM MAIN,PCS," 4,800 "," $ 3,226 ", $ 0.67 ,,,,Steel Shot,,Other,,,,End Customer,
22-10-2022,9200670106,68042290,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) ,INDIA,KANAKPURA - JAIPUR ICD (INKKU6),SUNEX STONES PRIVATE LIMITED,HONG KONG,"KERRYFU INTERNATIONAL TRADING CO , LIMITED",CASELLA/GENOVA,PCS," 2,400 "," $ 1,603 ", $ 0.67 ,,,,Steel Shot,,Other,,,,Reseller,
04-12-2019,0412201919253311,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (CTN 245) AS PER DOCUMENT ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),CAMROLA QUARTZ LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,SHEKOU,MTS,  6 ," $ 3,061 ", $ 0.51 ,,,,Steel Shot,,Other,,,,End Customer,
20-07-2022,1019767714,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 2880 PCS X 0.605 USD) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,MTS,  3 ," $ 2,013 ", $ 0.68 ,,,,Steel Shot,,Other,,,,End Customer,
11-07-2023,3755134593,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 3744 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),AMAZOONE CERAMICS LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  4 ," $ 2,394 ", $ 0.63 ,,,,Steel Shot,,Other,,,,Reseller,
11-07-2023,3755134613,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4032 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  4 ," $ 2,553 ", $ 0.60 ,,,,Steel Shot,,Other,,,,End Customer,
10-10-2023,9457038507,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4032 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  4 ," $ 2,577 ", $ 0.61 ,,,,Steel Shot,,Other,,,,End Customer,
03-01-2024,9202145605,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4032 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),AMAZOONE CERAMICS LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  4 ," $ 2,700 ", $ 0.64 ,,,,Steel Shot,,Other,,,,Reseller,
03-01-2024,9202244732,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4032 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  5 ," $ 2,866 ", $ 0.64 ,,,,Steel Shot,,Other,,,,End Customer,
27-12-2022,8484588342,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4320 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  5 ," $ 2,787 ", $ 0.62 ,,,,Steel Shot,,Other,,,,End Customer,
11-04-2023,7854958530,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4320 PCS X 0.605 USD),INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,JIANGMEN CITY SHUANGYI ABRASIVE CO.,JIANGMEN,MTS,  5 ," $ 2,706 ", $ 0.60 ,,,,Steel Shot,,Other,,,,End Customer,
28-07-2022,1006164730,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY : 4320 PCS X 0.605 USD) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),AMAZOONE CERAMICS LIMITED,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,MTS,  4 ," $ 3,132 ", $ 0.71 ,,,,Steel Shot,,Other,,,,Reseller,
19-06-2019,1.9062E+15,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY 3192 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),CAMROLA QUARTZ LIMITED,CHINA,N/A,,MTS,  3 ," $ 1,706 ", $ 0.52 ,,,,Steel Shot,,Other,,,,End Customer,
27-03-2019,270320195967400,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY 4056 PCS),INDIA,PIPAVAV(VICTOR) PORT (INPAV),CAMROLA QUARTZ LIMITED,CHINA,N/A,JIANGMEN,MTS,  4 ," $ 2,182 ", $ 0.51 ,,,,Steel Shot,,Other,,,,End Customer,
24-02-2022,1533903773,68042190,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",L170MM ABRASIVE STONE FOR QUARTZ (GRITS 240#) (QTY: 2592 PCSX 0.605 USD) ,INDIA,PIPAVAV(VICTOR) PORT (INPAV),ASIAN GRANITO INDIA LIMITED,CHINA,"KERRYFU INTERNATIONAL TRADING CO., LIMITED",,MTS,  3 ," $ 1,826 ", $ 0.69 ,,,,Steel Shot,,Other,,,,End Customer,
