DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
12/5/2021,1003775929,28051200,Chemicals,CALCIUM METAL GRANULES 0.1MM-2.0MM (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),UNITED STATES,"CCMA, LLC",SHANGHAI,MTS,28.80," $ 93,888.00 "," $ 3,260.00 "
12/9/2020,1.2092E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,ALL MINMETAL INTERNATIONAL LIM,SHANGHAI,KGS,28551.00," $ 65,096.28 ", $ 2.28 
12/9/2020,1.2092E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,ALL MINMETAL INTERNATIONAL LIM,SHANGHAI,KGS,14492.00," $ 33,041.76 ", $ 2.28 
13/8/2020,1.3082E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN. (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,SHANGHAI,MTS,28.74," $ 73,603.49 "," $ 2,560.57 "
13/7/2020,1.3072E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN. (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,SHANGHAI,MTS,28.39," $ 72,709.92 "," $ 2,560.57 "
18/6/2020,1.8062E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN. (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,SHANGHAI,MTS,29.01," $ 74,297.33 "," $ 2,560.56 "
18/5/2020,1.8052E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN. (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,,MTS,28.97," $ 79,116.45 "," $ 2,730.60 "
30/1/2020,300120202193630,28051200,Chemicals,CALCIUM METAL GRANULES SIZE:0.2-2MM(90% MIN) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,SHANGHAI,KGS,14000.00," $ 31,015.72 ", $ 2.22 
5/12/2019,0512201917755586,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,SHANGHAI,KGS,29099.00," $ 72,235.60 ", $ 2.48 
30/11/2019,3.0112E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,WINFRED INTERNATIONAL METAL SOURCE CO LTD,,KGS,29242.00," $ 72,240.87 ", $ 2.47 
21/9/2019,21092019900483,28051200,Chemicals,CALCIUM GRANULES - FOR INDUSTRIAL PURPOSE (CA:98.53%) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,ALL MINMETAL INTERNATIONAL LIM,SHANGHAI,MTS,14.00," $ 34,516.06 "," $ 2,465.43 "
27/3/2019,270320195649630,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE (CA 98.5% MIN),INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,SHANGHAI,MTS,42.55," $ 123,638.72 "," $ 2,905.59 "
27/3/2019,270320195649620,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE (CA 98.5% MIN),INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,SHANGHAI,MTS,42.74," $ 124,185.33 "," $ 2,905.60 "
26/2/2019,260220192960530,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,SHANGHAI,MTS,28.39," $ 82,498.47 "," $ 2,905.59 "
26/2/2019,260220192960380,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE CA 98.5% MIN,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,SHANGHAI,MTS,28.08," $ 81,606.46 "," $ 2,905.59 "
26/2/2019,260220192960210,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE (CA 98.5% MIN),INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,SHANGHAI,MTS,14.11," $ 44,173.69 "," $ 3,130.00 "
13/9/2018,1.3092E+15,28051200,Chemicals,CALCIUM METAL (CALCIUM GRANULES),INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,,MTS,14.00," $ 39,487.88 "," $ 2,820.56 "
31/8/2018,3.1082E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,,MTS,13.91," $ 43,563.33 "," $ 3,130.22 "
27/7/2018,2.7072E+15,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,N/A,,MTS,13.52," $ 42,330.11 "," $ 3,130.00 "
28/6/2023,8498619348,28491000,Chemicals,CALCIUM CARBIDE-SIZE 25-50MM-GAS YIELD 295 LITRE/KG (DG CARGO) FOR INDUSTRIAL USE.,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,ABBA TECHNOLOGY LIMITED,SHANGHAI,MTS,225.00," $ 177,556.42 ", $ 789.14 
