date,shipment_id,hs_code,industry,product_description,buyer_country,destination_port,buyer,seller_country,seller,origin_port,unit,quantity,valueusd,unit_price,_derived_value_calc,_value_mismatch,Seller Group,Buyer Group,Normalized_Model_Internal,Match_Score,Spare / Unit / Others,Unit_Normalized,Manufacturer,Model,type,Extracted_Condition,Product,Category,Type,Seller_Type,Buyer_Type,product,Relevancy,relevancy_confidence,calc_value,value_diff_pct,shipment_type
2023-01-31,5658981621,72051011.0,Iron and Steel,STEEL SHOTS,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,CHINA,CHENYANG METAL GROUP LIMITED,QINGDAO,MTS,216.0,130140.0,602.5,130140.0,False,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,CHENYANG METAL GROUP LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4714,130140.0,0.0,Unknown
2023-10-27,9456545131,68042290.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",CD LAPATO ABRASIVE GRITS 180#CD 240#CD 320#CD 400#CD,INDIA,MUNDRA (INMUN1),SUNREX CORPORATION LLP,CHINA,FOSHAN XINCHEN TRADING CO.LTD,NANSHA,MTS,23.0,127542.0,5.65,129.95000000000002,True,,SUNREX CORPORATION LLP,DXS232,75.14,Others,mts,FOSHAN XINCHEN TRADING CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4051,129.95000000000002,0.9989811199448025,Unknown
2022-11-27,6751979398,68042290.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",POLISHING GLAZED ABRASIVES TYPE T1 L140 GRITS 180# 240# 320# 400# 600# 800# 1000# 1200# 1500# 2000# 3000#,INDIA,MUNDRA (INMUN1),SWATI BIZCON,CHINA,SUNWAY TECHNOLOGY LIMITED,JIUJIANG,MTS,19.0,127501.0,6.78,128.82,True,,SWATI BIZCON,L140,72.65,Others,mts,SUNWAY TECHNOLOGY LIMITED,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3834,128.82,0.9989896549830981,Unknown
2020-01-15,1.5012E+13,72085110.0,Iron and Steel,HOT ROLLED STEEL PLATES (NON ALLOY) SHOT BLASTED & PRIMED GRADE: IS 2062 E350C S355J2+N SIZE:200-240MM X2300MM X,INDIA,BOMBAY SEA (INBOM1),DMSONS METAL PRIVATE LIMITED,SWITZERLAND,DUFERCO ASIA PTE LTD,SHANGHAI,MTS,187.0,127467.0,680.28,127212.36,True,,DMSONS METAL PRIVATE LIMITED,E350C,71.67,Others,mts,DUFERCO ASIA PTE LTD,E350C,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Relevant,0.5184,127212.36,0.001997693520675935,Unknown
2024-10-28,9859463945,72051021.0,Iron and Steel,STEEL SHOT S390,INDIA,NHAVA SHEVA SEA (INNSA1),ARCELORMITTAL NIPPON STEEL INDIA LIMITED,THAILAND,Winoa Group,LAEM CHABANG,MTS,150.0,127398.0,849.32,127398.00000000001,False,,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,S390,66.51,Others,mts,WINOA GROUP,S390,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4752,127398.00000000001,1.1422404769593599e-16,Unknown
2023-05-13,8849389485,84149090.0,Machinery and Mechanical Appliances,STEEL-SHOT BLASTED D75.3-KP72-FORGED CIRC. BLANK (COMPRESSORWHEEL) - 187412325611 (PARTS OF TURBO CHARGER),INDIA,CHENNAI SEA (INMAA1),TURBO ENERGY PRIVATE LIMITED,ITALY,BRAWO S P A,XIAMEN,NOS,33600.0,127235.0,3.79,127344.0,True,,TURBO ENERGY PRIVATE LIMITED,KP72-FORGED,75.0,Others,nos,BRAWO S P A,KP72-FORGED,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.0001,127344.0,0.0008566825166031359,Unknown
2023-07-21,3753352785,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM ( FOR MANUFACTURINGOF QUARTZ SLABS) (100% EOU UNIT),INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,126817.0,0.24,124.8,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Spare,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4835,124.8,0.9990159048077151,Unknown
2023-04-30,7855564179,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM (SILICON DIOXIDE)(FOR THE MANUFACTURE OF QUARTZ SLABS)(100% EOU UNIT),INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,126716.0,0.24,124.8,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3824,124.8,0.9990151204267811,Unknown
2023-11-15,0219893179,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM (SILICON DIOXIDE)(FOR THE MANUFACTURE OF QUARTZ SLABS)(100% EOU UNIT),INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,126572.0,0.24,124.8,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3824,124.8,0.9990139999367948,Unknown
2022-04-11,6751461904,72051021.0,Iron and Steel,STEEL SHOTS,INDIA,CHENNAI SEA (INMAA1),ASIAN STEEL INDUSTRIES,CHINA,CHINA LUBAO CO LTD,QINGDAO,MTS,204.0,126446.0,619.83,126445.32,False,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,CHINA LUBAO CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4721,126445.32,5.377789728366379e-06,Unknown
